date time,wheel,vl,wheel,vr,sonar,X
2019-07-05 16:31:19.011833 ,Left,120 ,Right,135 ,s,272
2019-07-05 16:31:19.567685 ,Left,150 ,Right,465 ,s,137
2019-07-05 16:31:20.103169 ,Left,165 ,Right,375 ,s,122
2019-07-05 16:31:20.639127 ,Left,150 ,Right,90 ,s,111
2019-07-05 16:31:21.184247 ,Left,60 ,Right,480 ,s,99
2019-07-05 16:31:21.716434 ,Left,270 ,Right,75 ,s,90
2019-07-05 16:31:22.249054 ,Left,75 ,Right,255 ,s,81
2019-07-05 16:31:22.803157 ,Left,195 ,Right,120 ,s,71
2019-07-05 16:31:23.334947 ,Left,255 ,Right,360 ,s,61
2019-07-05 16:31:23.896863 ,Left,285 ,Right,150 ,s,51
2019-07-05 16:31:24.438213 ,Left,375 ,Right,420 ,s,229
2019-07-05 16:31:25.208830 ,Left,180 ,Right,450 ,s,400
2019-07-05 16:31:25.771950 ,Left,180 ,Right,180 ,s,132
2019-07-05 16:31:26.322390 ,Left,75 ,Right,465 ,s,85
2019-07-05 16:31:26.852107 ,Left,120 ,Right,90 ,s,76
2019-07-05 16:31:27.407602 ,Left,150 ,Right,360 ,s,64
2019-07-05 16:31:27.938056 ,Left,135 ,Right,510 ,s,55
2019-07-05 16:31:28.528314 ,Left,135 ,Right,135 ,s,110
2019-07-05 16:31:29.089119 ,Left,210 ,Right,600 ,s,112
2019-07-05 16:31:29.650948 ,Left,165 ,Right,180 ,s,94
2019-07-05 16:31:30.191178 ,Left,105 ,Right,240 ,s,85
2019-07-05 16:31:30.723122 ,Left,180 ,Right,120 ,s,70
2019-07-05 16:31:31.256556 ,Left,180 ,Right,600 ,s,63
2019-07-05 16:31:31.787855 ,Left,75 ,Right,660 ,s,51
2019-07-05 16:31:32.355144 ,Left,225 ,Right,165 ,s,41
2019-07-05 16:31:32.912173 ,Left,90 ,Right,420 ,s,215
2019-07-05 16:31:33.625136 ,Left,135 ,Right,60 ,s,80
2019-07-05 16:31:34.199943 ,Left,60 ,Right,75 ,s,68
2019-07-05 16:31:34.733103 ,Left,105 ,Right,585 ,s,57
2019-07-05 16:31:35.287160 ,Left,165 ,Right,150 ,s,6
2019-07-05 16:31:36.051491 ,Left,45 ,Right,75 ,s,400
2019-07-05 16:31:36.655475 ,Left,75 ,Right,405 ,s,158
2019-07-05 16:31:37.236615 ,Left,75 ,Right,60 ,s,112
